ChipTime,ax(g),ay(g),az(g)
2021-01-02 15:47:55.565,-0.1323,-0.9507,0.2495
2021-01-02 15:47:55.575,-0.1333,-0.9517,0.249
2021-01-02 15:47:55.585,-0.1333,-0.9517,0.249
2021-01-02 15:47:55.595,-0.1348,-0.9517,0.2466
2021-01-02 15:47:55.605,-0.1348,-0.9517,0.2466
2021-01-02 15:47:55.615,-0.1323,-0.9531,0.2471
2021-01-02 15:47:55.625,-0.1323,-0.9531,0.2471
2021-01-02 15:47:55.635,-0.1289,-0.9531,0.248
2021-01-02 15:47:55.645,-0.1289,-0.9531,0.248
2021-01-02 15:47:55.655,-0.1284,-0.9536,0.2471
2021-01-02 15:47:55.665,-0.1284,-0.9536,0.2471
2021-01-02 15:47:55.675,-0.1294,-0.9556,0.2446
2021-01-02 15:47:55.685,-0.1294,-0.9556,0.2446
2021-01-02 15:47:55.695,-0.1323,-0.9561,0.2407
2021-01-02 15:47:55.705,-0.1323,-0.9561,0.2407
2021-01-02 15:47:55.715,-0.1318,-0.9585,0.2368
2021-01-02 15:47:55.725,-0.1318,-0.9585,0.2368
2021-01-02 15:47:55.735,-0.125,-0.9619,0.2354
2021-01-02 15:47:55.745,-0.125,-0.9619,0.2354
2021-01-02 15:47:55.755,-0.1211,-0.96,0.2373
2021-01-02 15:47:55.765,-0.1211,-0.96,0.2373
2021-01-02 15:47:55.775,-0.123,-0.959,0.2393
2021-01-02 15:47:55.785,-0.123,-0.959,0.2393
2021-01-02 15:47:55.795,-0.1182,-0.9639,0.2388
2021-01-02 15:47:55.805,-0.1182,-0.9639,0.2388
2021-01-02 15:47:55.815,-0.1162,-0.9604,0.2407
2021-01-02 15:47:55.825,-0.1162,-0.9604,0.2407
2021-01-02 15:47:55.835,-0.1147,-0.9639,0.2378
2021-01-02 15:47:55.845,-0.1147,-0.9639,0.2378
2021-01-02 15:47:55.855,-0.1138,-0.9673,0.2344
2021-01-02 15:47:55.865,-0.1138,-0.9673,0.2344
2021-01-02 15:47:55.875,-0.1118,-0.9634,0.2388
2021-01-02 15:47:55.885,-0.1118,-0.9634,0.2388
2021-01-02 15:47:55.895,-0.1196,-0.9614,0.2358
2021-01-02 15:47:55.905,-0.1196,-0.9614,0.2358
2021-01-02 15:47:55.915,-0.1167,-0.9619,0.2388
2021-01-02 15:47:55.925,-0.1167,-0.9619,0.2388
2021-01-02 15:47:55.935,-0.125,-0.9585,0.2397
2021-01-02 15:47:55.945,-0.125,-0.9585,0.2397
2021-01-02 15:47:55.955,-0.1309,-0.9561,0.2437
2021-01-02 15:47:55.965,-0.1309,-0.9561,0.2437
2021-01-02 15:47:55.975,-0.1108,-0.9336,0.2314
2021-01-02 15:47:55.985,-0.1108,-0.9336,0.2314
2021-01-02 15:47:55.995,-0.144,-0.9575,0.2515
2021-01-02 15:47:56.005,-0.144,-0.9575,0.2515
2021-01-02 15:47:56.015,-0.1631,-0.9502,0.2524
2021-01-02 15:47:56.025,-0.1631,-0.9502,0.2524
2021-01-02 15:47:56.035,-0.1201,-0.9277,0.2617
2021-01-02 15:47:56.045,-0.1201,-0.9277,0.2617
2021-01-02 15:47:56.055,-0.1309,-0.9253,0.2559
2021-01-02 15:47:56.065,-0.1309,-0.9253,0.2559
2021-01-02 15:47:56.075,-0.1353,-0.9761,0.27
2021-01-02 15:47:56.085,-0.1353,-0.9761,0.27
2021-01-02 15:47:56.095,-0.0986,-0.9819,0.2729
2021-01-02 15:47:56.105,-0.0986,-0.9819,0.2729
2021-01-02 15:47:56.115,-0.2002,-0.9082,0.2363
2021-01-02 15:47:56.125,-0.2002,-0.9082,0.2363
2021-01-02 15:47:56.135,-0.2832,-1.0283,0.2773
2021-01-02 15:47:56.145,-0.2832,-1.0283,0.2773
2021-01-02 15:47:56.155,-0.1089,-0.9189,0.2832
2021-01-02 15:47:56.165,-0.1089,-0.9189,0.2832
2021-01-02 15:47:56.175,0.0332,-0.916,0.2373
2021-01-02 15:47:56.185,0.0332,-0.916,0.2373
2021-01-02 15:47:56.195,-0.0015,-0.9707,0.2524
2021-01-02 15:47:56.205,-0.0015,-0.9707,0.2524
2021-01-02 15:47:56.215,-0.0811,-0.9492,0.2671
2021-01-02 15:47:56.225,-0.0811,-0.9492,0.2671
2021-01-02 15:47:56.235,-0.0933,-0.9497,0.2827
2021-01-02 15:47:56.245,-0.0933,-0.9497,0.2827
2021-01-02 15:47:56.255,-0.1074,-0.9487,0.2734
2021-01-02 15:47:56.265,-0.1074,-0.9487,0.2734
2021-01-02 15:47:56.275,-0.0986,-0.9629,0.2778
2021-01-02 15:47:56.285,-0.0986,-0.9629,0.2778
2021-01-02 15:47:56.295,-0.1118,-0.9663,0.2617
2021-01-02 15:47:56.305,-0.1118,-0.9663,0.2617
2021-01-02 15:47:56.315,-0.0967,-0.8823,0.2539
2021-01-02 15:47:56.325,-0.0967,-0.8823,0.2539
2021-01-02 15:47:56.335,0.002,-0.9878,0.29
2021-01-02 15:47:56.345,0.002,-0.9878,0.29
2021-01-02 15:47:56.355,-0.0527,-0.999,0.293
2021-01-02 15:47:56.365,-0.0527,-0.999,0.293
2021-01-02 15:47:56.375,-0.1045,-0.9351,0.2915
2021-01-02 15:47:56.385,-0.1045,-0.9351,0.2915
2021-01-02 15:47:56.395,-0.1338,-0.9497,0.314
2021-01-02 15:47:56.405,-0.1338,-0.9497,0.314
2021-01-02 15:47:56.415,-0.0996,-0.9277,0.3101
2021-01-02 15:47:56.425,-0.0996,-0.9277,0.3101
2021-01-02 15:47:56.435,-0.0864,-0.957,0.2915
2021-01-02 15:47:56.445,-0.0864,-0.957,0.2915
