ChipTime,ax(g),ay(g),az(g)
2021-01-02 15:47:53.435,-0.1201,-0.9595,0.2354
2021-01-02 15:47:53.445,-0.1201,-0.9595,0.2354
2021-01-02 15:47:53.455,-0.1201,-0.9600,0.2358
2021-01-02 15:47:53.465,-0.1201,-0.9600,0.2358
2021-01-02 15:47:53.475,-0.1206,-0.9609,0.2349
2021-01-02 15:47:53.485,-0.1206,-0.9609,0.2349
2021-01-02 15:47:53.505,-0.1216,-0.9595,0.2358
2021-01-02 15:47:53.515,-0.1211,-0.9604,0.2354
2021-01-02 15:47:53.525,-0.1211,-0.9604,0.2354
2021-01-02 15:47:53.535,-0.1201,-0.9604,0.2358
2021-01-02 15:47:53.545,-0.1201,-0.9604,0.2358
2021-01-02 15:47:53.555,-0.1196,-0.9604,0.2354
2021-01-02 15:47:53.565,-0.1196,-0.9604,0.2354
2021-01-02 15:47:53.575,-0.1206,-0.9600,0.2358
2021-01-02 15:47:53.585,-0.1206,-0.9600,0.2358
2021-01-02 15:47:53.595,-0.1191,-0.9600,0.2363
2021-01-02 15:47:53.605,-0.1191,-0.9600,0.2363
2021-01-02 15:47:53.615,-0.1206,-0.9600,0.2368
2021-01-02 15:47:53.625,-0.1206,-0.9600,0.2368
2021-01-02 15:47:53.635,-0.1216,-0.9590,0.2378
2021-01-02 15:47:53.645,-0.1216,-0.9590,0.2378
2021-01-02 15:47:53.655,-0.1201,-0.9600,0.2378
2021-01-02 15:47:53.665,-0.1201,-0.9600,0.2378
2021-01-02 15:47:53.675,-0.1211,-0.9590,0.2383
2021-01-02 15:47:53.685,-0.1211,-0.9590,0.2383
2021-01-02 15:47:53.695,-0.1206,-0.9595,0.2388
2021-01-02 15:47:53.705,-0.1206,-0.9595,0.2388
2021-01-02 15:47:53.715,-0.1216,-0.9590,0.2378
2021-01-02 15:47:53.725,-0.1216,-0.9590,0.2378
2021-01-02 15:47:53.735,-0.1245,-0.9580,0.2388
2021-01-02 15:47:53.745,-0.1245,-0.9580,0.2388
2021-01-02 15:47:53.755,-0.1216,-0.9585,0.2402
2021-01-02 15:47:53.765,-0.1216,-0.9585,0.2402
2021-01-02 15:47:53.775,-0.1221,-0.9575,0.2402
2021-01-02 15:47:53.785,-0.1221,-0.9575,0.2402
2021-01-02 15:47:53.795,-0.1235,-0.9580,0.2393
2021-01-02 15:47:53.805,-0.1235,-0.9580,0.2393
2021-01-02 15:47:53.815,-0.1226,-0.9585,0.2412
2021-01-02 15:47:53.825,-0.1226,-0.9585,0.2412
2021-01-02 15:47:53.835,-0.1226,-0.9570,0.2422
2021-01-02 15:47:53.845,-0.1226,-0.9570,0.2422
2021-01-02 15:47:53.855,-0.1245,-0.9575,0.2402
2021-01-02 15:47:53.865,-0.1245,-0.9575,0.2402
2021-01-02 15:47:53.875,-0.1216,-0.9580,0.2397
2021-01-02 15:47:53.885,-0.1216,-0.9580,0.2397
2021-01-02 15:47:53.895,-0.1230,-0.9590,0.2393
2021-01-02 15:47:53.905,-0.1230,-0.9590,0.2393
2021-01-02 15:47:53.915,-0.1196,-0.9575,0.2397
2021-01-02 15:47:53.925,-0.1196,-0.9575,0.2397
2021-01-02 15:47:53.935,-0.1245,-0.9585,0.2393
2021-01-02 15:47:53.945,-0.1245,-0.9585,0.2393
2021-01-02 15:47:53.955,-0.1201,-0.9595,0.2388
2021-01-02 15:47:53.965,-0.1201,-0.9595,0.2388
2021-01-02 15:47:53.975,-0.1235,-0.9590,0.2393
2021-01-02 15:47:53.985,-0.1235,-0.9590,0.2393
2021-01-02 15:47:53.995,-0.1211,-0.9590,0.2393
2021-01-02 15:47:54.005,-0.1211,-0.9590,0.2393
2021-01-02 15:47:54.015,-0.1211,-0.9604,0.2383
2021-01-02 15:47:54.025,-0.1211,-0.9604,0.2383
2021-01-02 15:47:54.035,-0.1216,-0.9595,0.2373
2021-01-02 15:47:54.045,-0.1216,-0.9595,0.2373
2021-01-02 15:47:54.055,-0.1221,-0.9590,0.2378
2021-01-02 15:47:54.065,-0.1221,-0.9590,0.2378
2021-01-02 15:47:54.075,-0.1221,-0.9590,0.2388
2021-01-02 15:47:54.085,-0.1221,-0.9590,0.2388
2021-01-02 15:47:54.095,-0.1216,-0.9585,0.2373
2021-01-02 15:47:54.105,-0.1216,-0.9585,0.2373
2021-01-02 15:47:54.115,-0.1201,-0.9600,0.2373
2021-01-02 15:47:54.125,-0.1201,-0.9600,0.2373
2021-01-02 15:47:54.135,-0.1201,-0.9595,0.2378
2021-01-02 15:47:54.145,-0.1201,-0.9595,0.2378
2021-01-02 15:47:54.155,-0.1196,-0.9590,0.2388
2021-01-02 15:47:54.165,-0.1196,-0.9590,0.2388
2021-01-02 15:47:54.175,-0.1201,-0.9590,0.2388
2021-01-02 15:47:54.185,-0.1201,-0.9590,0.2388
2021-01-02 15:47:54.195,-0.1191,-0.9580,0.2393
2021-01-02 15:47:54.205,-0.1191,-0.9580,0.2393
2021-01-02 15:47:54.215,-0.1206,-0.9585,0.2397
2021-01-02 15:47:54.225,-0.1206,-0.9585,0.2397
2021-01-02 15:47:54.235,-0.1191,-0.9585,0.2393
2021-01-02 15:47:54.245,-0.1191,-0.9585,0.2393
2021-01-02 15:47:54.255,-0.1196,-0.9590,0.2393
2021-01-02 15:47:54.265,-0.1196,-0.9590,0.2393
2021-01-02 15:47:54.275,-0.1206,-0.9590,0.2393
2021-01-02 15:47:54.285,-0.1206,-0.9590,0.2393
2021-01-02 15:47:54.295,-0.1196,-0.9590,0.2397
2021-01-02 15:47:54.305,-0.1196,-0.9590,0.2397
2021-01-02 15:47:54.315,-0.1211,-0.9575,0.2402
2021-01-02 15:47:54.325,-0.1211,-0.9575,0.2402
2021-01-02 15:47:54.335,-0.1211,-0.9590,0.2393
2021-01-02 15:47:54.345,-0.1211,-0.9590,0.2393
2021-01-02 15:47:54.355,-0.1206,-0.9604,0.2402
2021-01-02 15:47:54.365,-0.1206,-0.9604,0.2402
2021-01-02 15:47:54.375,-0.1211,-0.9570,0.2407
2021-01-02 15:47:54.385,-0.1211,-0.9570,0.2407
2021-01-02 15:47:54.395,-0.1201,-0.9585,0.2402
2021-01-02 15:47:54.405,-0.1201,-0.9585,0.2402
2021-01-02 15:47:54.415,-0.1206,-0.9590,0.2393
2021-01-02 15:47:54.425,-0.1206,-0.9590,0.2393
2021-01-02 15:47:54.435,-0.1206,-0.9580,0.2388
